"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000","iteration_3050","iteration_3100","iteration_3150","iteration_3200","iteration_3250","iteration_3300","iteration_3350","iteration_3400","iteration_3450","iteration_3500","iteration_3550","iteration_3600","iteration_3650","iteration_3700","iteration_3750","iteration_3800","iteration_3850","iteration_3900","iteration_3950","iteration_4000","iteration_4050","iteration_4100","iteration_4150","iteration_4200","iteration_4250","iteration_4300","iteration_4350","iteration_4400","iteration_4450","iteration_4500","iteration_4550","iteration_4600","iteration_4650","iteration_4700","iteration_4750","iteration_4800","iteration_4850","iteration_4900","iteration_4950","iteration_5000"
"37191000015",6,6,6,1,12,9,6,6,6,8,6,1,7,7,8,2,7,2,2,1,8,11,1,11,5,11,6,11,10,10,4,7,7,14,6,7,2,13,6,6,2,11,6,6,6,5,5,6,2,6,4,8,8,10,10,7,8,8,8,8,8,1,13,12,7,12,9,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"37191000014",6,6,6,1,12,9,6,6,6,8,6,1,7,7,8,2,4,7,4,1,8,11,1,11,5,11,6,11,10,10,4,7,7,14,6,7,2,13,6,6,2,11,2,6,6,5,5,6,2,6,4,8,8,10,10,7,8,8,8,1,7,1,13,12,7,12,9,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"37067000405",14,7,12,9,6,2,14,5,11,5,1,5,10,10,9,5,11,1,14,2,5,3,8,3,8,3,2,2,2,2,9,10,2,5,5,5,11,11,13,9,10,9,10,10,9,10,13,8,12,2,2,7,5,13,13,9,2,11,5,12,2,2,9,9,13,13,5,13,1,13,13,13,13,13,13,13,14,14,14,14,14,14,14,5,5,5,5,13,13,13,13,13,13,13,14,13,13,13,13,13,14
"37191000013",6,6,6,1,12,9,6,6,6,8,6,1,7,7,8,8,4,7,4,1,8,11,1,11,5,11,6,11,10,10,4,7,7,14,6,7,2,13,6,6,2,11,2,6,6,5,5,6,2,6,4,8,8,10,10,7,8,8,8,1,7,1,13,12,7,12,9,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"37067000404",14,7,12,9,6,2,14,5,11,5,1,5,10,10,9,5,5,1,1,2,5,3,8,3,8,3,2,2,2,2,9,10,2,5,5,5,11,11,13,9,10,9,10,10,9,10,13,8,12,2,2,7,5,13,13,9,2,11,5,12,2,2,9,9,13,13,5,13,1,13,13,13,13,13,13,13,14,14,14,14,14,14,14,5,5,5,5,13,13,13,13,13,13,13,14,13,13,13,13,13,14
"3712500WKWD",11,5,3,10,10,10,10,7,10,11,9,2,4,5,5,4,1,5,7,7,7,12,12,12,4,5,7,14,5,11,10,4,12,2,14,14,14,14,5,7,7,2,13,5,5,13,9,10,10,1,1,1,6,7,7,6,6,14,14,14,3,13,4,7,8,4,8,8,12,5,5,5,10,8,8,8,12,12,12,5,12,12,12,12,12,9,9,9,9,6,6,5,5,5,5,5,5,5,7,7,7
"3707700EAOX",1,1,4,14,13,7,9,13,3,3,6,12,7,1,2,7,2,12,12,8,2,4,7,4,11,6,13,5,13,7,1,7,11,7,6,6,2,13,5,7,7,5,2,6,4,2,10,4,5,6,10,4,10,4,8,7,8,8,1,4,4,4,8,14,12,7,7,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"37067000403",14,7,12,9,6,2,14,5,11,5,1,5,10,10,9,5,5,1,1,2,5,3,8,3,8,3,2,2,2,2,9,10,2,5,5,5,11,11,13,9,10,9,10,10,9,10,13,8,12,2,2,7,5,13,13,9,2,11,5,12,2,2,9,9,13,13,5,13,1,13,13,13,13,13,13,13,14,14,14,14,14,14,14,5,5,5,5,13,13,13,13,13,13,13,14,13,13,13,13,13,14
"37067000402",14,7,12,9,6,2,14,5,11,5,1,5,10,10,9,5,5,1,1,2,5,3,8,3,8,3,2,2,2,2,9,10,2,5,5,1,11,11,13,9,10,9,10,10,9,10,13,8,12,2,2,7,5,13,13,9,2,11,5,12,2,2,9,9,13,13,5,13,1,13,13,13,13,13,13,13,14,14,14,14,14,14,14,5,5,5,5,13,13,13,13,13,13,13,14,13,13,13,13,13,14
"37067000401",14,7,12,9,6,2,14,5,11,5,1,5,10,10,9,5,5,1,1,2,5,3,8,3,8,3,2,2,2,2,9,10,2,5,5,1,11,11,13,9,10,9,10,10,9,10,13,8,12,2,2,7,5,13,13,9,2,11,5,12,2,2,9,9,13,13,5,13,1,13,13,13,13,13,13,13,14,14,14,14,14,14,14,5,5,5,5,13,13,13,13,13,13,13,14,13,13,13,13,13,14
"3713300HN14",6,6,1,1,12,3,6,6,1,12,3,1,12,8,12,1,7,2,2,5,12,5,1,1,5,1,1,11,3,5,4,13,7,14,7,7,6,6,6,11,13,4,3,2,2,14,3,3,3,3,3,3,3,8,3,3,3,6,7,7,14,14,12,6,9,6,6,14,14,14,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,4,4,4,4,4,4
"37175000TC1",5,9,9,2,2,14,11,2,2,14,10,14,14,14,11,6,13,13,13,13,10,14,14,14,14,14,14,8,8,8,2,2,9,9,9,9,10,10,12,12,12,12,12,12,8,8,8,13,13,13,13,13,14,14,14,14,9,2,11,9,10,10,11,11,11,11,11,11,11,11,11,11,14,14,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"3703100ATSL",6,3,1,8,12,1,6,8,8,3,3,1,5,8,1,1,8,2,8,11,12,1,4,1,7,1,1,11,3,5,13,13,13,14,7,7,6,6,2,6,6,6,6,3,3,3,6,5,4,4,4,8,8,10,10,4,4,4,4,8,8,8,14,8,14,14,14,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,4,4,4,4,4,4
"371150SANDY",5,9,9,2,2,14,11,2,2,14,10,14,14,14,11,6,13,13,13,13,10,14,14,14,14,14,14,8,8,8,2,2,9,9,9,9,10,10,12,12,12,12,12,12,8,8,8,1,13,13,13,13,14,14,14,14,9,2,11,9,10,10,11,11,11,11,11,11,11,11,11,11,14,14,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"37175000TC7",5,9,9,2,2,14,11,2,2,14,10,14,14,14,11,6,13,13,13,13,10,14,14,14,14,14,14,8,8,8,2,2,9,9,9,9,10,10,12,12,12,12,12,12,8,8,8,13,13,13,13,13,14,14,14,14,9,2,11,9,10,10,11,11,11,11,11,11,11,11,11,11,14,14,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"3719700EBND",14,7,12,9,6,2,14,5,11,5,1,5,10,10,9,5,10,1,1,2,5,3,3,8,3,3,2,2,2,2,9,10,2,5,3,12,9,11,13,14,5,9,7,10,9,10,13,8,12,2,2,7,5,13,13,9,2,11,5,12,2,3,10,9,13,13,5,13,1,13,13,13,13,13,13,13,14,14,14,14,14,14,14,5,5,5,5,13,13,13,13,13,13,13,14,13,13,13,13,13,14
"37191000023",6,6,6,1,12,9,6,6,6,8,6,7,7,7,8,8,4,7,4,1,8,11,1,11,5,11,6,11,10,10,4,7,7,14,6,7,2,13,6,6,2,11,2,6,6,5,5,6,2,6,4,8,8,10,10,7,8,8,8,1,7,1,13,12,7,12,9,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"37191000022",6,6,6,1,12,9,6,6,6,8,6,1,7,7,8,8,4,7,4,1,8,11,1,11,5,11,6,11,10,10,4,7,7,14,6,7,2,13,6,6,2,11,2,6,6,5,5,6,2,6,4,8,8,10,10,7,8,8,8,1,7,1,13,12,7,12,9,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"37191000021",6,6,6,1,12,9,6,6,6,8,6,7,7,7,8,8,4,7,4,1,8,11,1,11,5,11,6,13,10,10,4,7,7,14,6,7,2,13,6,6,2,11,2,6,6,5,5,6,2,6,4,8,8,10,10,7,8,8,8,1,7,1,13,12,7,12,9,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"3703100MASM",6,3,1,8,12,3,6,8,8,3,3,1,5,8,1,1,8,2,8,11,12,1,4,1,7,1,1,11,3,5,13,13,13,14,7,7,6,6,2,6,6,6,6,3,3,3,6,5,4,4,4,8,8,10,10,4,4,4,4,8,8,8,14,8,14,14,14,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,4,4,4,4,4,4
"3712700P05A",4,6,6,8,3,1,8,13,3,6,4,3,5,2,8,12,4,7,5,4,4,11,7,2,11,6,13,5,13,10,13,7,13,6,6,6,2,13,6,2,2,11,2,6,6,2,5,6,5,6,10,4,10,4,8,7,8,8,1,4,4,4,8,14,12,7,7,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"370970000CD",14,12,7,11,9,4,4,4,11,5,1,11,13,6,14,9,6,9,10,2,14,9,3,8,3,9,8,4,9,9,8,3,2,10,12,12,9,7,10,14,8,10,7,9,11,11,12,14,11,14,5,5,12,2,5,5,11,11,9,11,12,3,9,1,1,2,1,1,13,10,14,3,3,3,3,3,3,3,3,13,13,13,1,1,11,13,13,5,5,5,5,6,6,11,11,3,3,3,3,6,6
"3719905-GRE",13,13,9,11,2,14,7,2,2,14,10,14,14,14,11,6,10,13,13,13,14,14,3,8,14,14,14,8,8,8,2,2,9,9,9,9,8,10,12,12,12,12,12,12,12,1,1,1,13,13,13,13,14,11,14,14,14,2,10,9,10,10,11,11,11,11,11,11,11,3,3,14,14,14,14,14,13,13,13,3,3,3,3,3,3,3,3,3,3,11,11,11,3,3,3,11,11,11,11,3,3
"3708700BE56",5,9,9,2,2,14,11,2,2,14,10,14,14,14,11,6,13,13,13,13,10,14,14,14,14,14,14,8,8,8,2,2,9,9,9,9,10,10,12,12,12,12,12,12,8,8,8,13,13,13,13,13,14,14,14,14,9,2,11,9,10,10,11,11,11,11,11,11,11,11,11,11,14,14,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"371570000IR",3,7,12,10,4,13,2,7,4,10,14,6,2,4,4,5,10,14,1,3,2,4,6,3,8,3,2,2,14,2,14,9,2,4,11,1,5,9,7,5,10,8,5,11,10,9,10,12,1,2,14,2,9,9,9,13,13,12,12,2,5,5,5,5,5,5,13,5,5,4,10,10,5,5,5,5,5,5,5,12,5,5,5,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,13
"3719700DCRK",14,7,12,9,6,2,14,5,11,5,1,5,10,10,9,5,10,1,1,2,5,3,3,8,3,3,2,2,2,9,9,10,2,5,3,12,9,11,13,14,5,9,7,10,9,10,13,8,12,2,2,7,5,13,13,9,2,11,5,12,12,3,10,9,13,13,5,13,1,13,13,13,13,13,13,13,14,14,14,14,14,14,14,5,5,5,5,13,13,13,13,13,13,13,14,13,13,13,13,13,14
"370210050.1",5,9,9,2,2,14,11,2,2,14,10,14,14,14,11,6,13,13,13,13,14,14,14,14,14,14,14,8,8,8,2,2,9,9,9,9,10,10,12,12,12,12,12,12,8,8,8,13,13,13,13,13,14,14,14,14,9,2,11,9,10,10,11,11,11,11,11,11,11,11,11,11,14,14,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"370970000CS",12,12,7,7,9,4,4,5,11,5,1,11,13,6,14,9,6,9,10,2,14,9,3,9,9,9,8,4,9,9,8,3,2,10,12,12,9,11,10,14,8,10,7,9,11,11,12,14,11,14,5,5,12,2,5,5,2,11,9,11,12,3,2,1,1,1,1,1,13,10,14,3,3,3,3,3,3,3,3,13,13,13,1,1,11,13,13,5,5,5,5,6,6,11,11,3,3,3,3,6,6
"3706100KENA",6,6,6,1,12,3,6,6,6,12,3,1,12,8,12,2,7,7,4,11,8,11,1,1,5,11,6,13,3,5,4,7,7,14,7,7,6,6,6,11,13,4,3,2,2,14,3,3,3,3,3,3,3,8,10,1,3,6,7,7,14,14,12,6,9,6,6,14,14,14,4,7,7,7,10,10,10,10,9,7,7,7,7,7,10,10,10,12,8,9,12,12,4,8,8,8,8,8,8,8,8
"37001000011",3,11,11,10,4,7,10,7,4,10,14,6,1,1,2,7,2,14,14,8,2,4,6,6,6,7,3,1,1,14,1,1,1,1,1,11,12,4,5,7,7,2,5,11,10,13,14,10,10,1,1,1,6,7,7,6,6,14,14,14,3,13,7,4,4,8,4,4,8,8,5,5,10,8,8,8,12,12,12,5,12,12,12,12,12,9,9,9,9,6,6,5,5,5,5,5,5,5,7,7,7
"37081000RC2",3,11,11,10,4,13,2,7,4,10,9,6,2,4,4,11,5,14,14,3,3,8,6,6,6,2,12,10,14,1,14,9,14,4,11,1,5,9,7,5,10,8,5,11,10,9,14,12,1,5,14,2,9,9,9,13,13,12,12,2,5,5,5,5,5,5,13,5,5,4,10,10,5,5,5,5,5,5,5,12,5,5,5,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,13
"37081000RC1",3,11,11,10,4,13,2,7,4,10,9,6,2,4,4,11,5,14,14,3,3,8,6,6,6,2,12,10,14,1,14,9,14,4,11,1,5,9,7,5,10,8,5,11,10,9,14,12,1,5,14,2,9,9,9,13,13,12,12,2,5,5,5,5,5,5,13,5,5,4,10,10,5,5,5,5,5,5,5,12,5,5,5,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,13
"3710900LS12",12,13,2,11,5,11,7,4,5,2,11,10,6,13,6,13,6,10,11,10,13,6,9,9,13,8,4,4,4,4,6,12,3,12,12,3,8,8,1,10,1,1,8,8,12,1,2,1,7,7,7,5,12,2,11,11,14,9,9,10,9,11,10,10,2,1,10,3,3,3,3,14,11,1,2,2,13,13,13,3,3,3,3,3,3,3,3,3,3,11,11,11,3,3,3,11,11,11,11,3,3
"371170000BG",4,3,6,8,3,1,8,8,8,3,4,3,5,2,1,12,8,8,8,11,11,1,4,11,7,1,1,5,13,10,13,7,13,6,6,6,6,13,2,6,6,6,6,3,3,3,6,5,4,4,4,8,10,4,10,4,4,4,4,8,8,8,14,8,14,14,14,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,4,4,4,4,4,4
"370210022.2",5,9,9,2,2,14,11,2,2,14,10,14,14,14,11,6,13,13,13,13,10,14,14,14,14,14,14,8,8,8,2,2,9,9,9,9,10,10,12,12,12,12,12,12,8,8,8,13,13,13,13,13,14,14,14,14,9,2,11,9,10,10,11,11,11,11,11,11,11,11,11,11,14,14,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"3712700P08A",4,6,6,8,3,1,8,13,3,6,6,3,7,2,8,12,4,7,5,4,11,11,7,2,11,6,13,5,13,10,13,7,13,6,6,6,2,13,6,2,2,11,2,6,6,2,5,6,5,6,10,4,10,4,8,7,8,8,1,4,4,4,8,14,12,7,7,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"371490TR123",5,9,9,2,2,11,11,2,2,2,11,14,14,14,13,6,13,13,13,13,10,14,14,14,14,14,4,8,8,8,2,12,9,9,9,9,10,8,8,12,12,12,12,12,8,8,8,13,13,13,13,13,14,14,14,14,9,2,11,9,10,10,11,11,11,11,11,11,11,11,11,11,14,14,2,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"37001000013",3,11,11,10,4,13,10,7,4,10,14,6,2,5,2,7,1,14,14,8,3,8,11,4,2,7,3,1,1,14,1,1,1,1,1,11,12,4,5,7,7,2,5,11,10,13,14,10,10,1,1,1,6,7,7,6,6,14,14,14,3,13,7,4,4,8,4,4,8,8,5,5,10,8,8,8,12,12,12,5,12,12,12,12,12,9,9,9,9,6,6,5,5,5,5,5,5,5,7,7,7
"37125000BEN",11,5,3,10,10,10,10,7,10,11,9,2,4,5,5,4,1,3,7,7,7,12,12,12,4,5,7,14,5,11,5,14,5,11,14,4,13,5,5,7,7,2,13,5,5,13,9,10,10,1,1,6,6,7,7,6,6,14,14,14,3,13,4,7,8,4,8,8,12,5,5,5,10,8,8,8,12,12,12,5,12,12,12,12,12,9,9,9,9,6,6,5,5,5,5,5,5,5,7,7,7
"3703100BFT2",6,3,1,8,12,3,6,8,8,3,3,1,5,8,1,1,8,2,8,11,12,1,4,1,7,1,1,11,3,5,13,13,13,14,7,7,6,6,2,6,6,6,6,3,3,3,6,5,4,4,4,8,8,10,10,4,4,4,4,8,8,8,14,8,14,14,14,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,4,4,4,4,4,4
"3703100BFT1",6,3,1,8,12,3,6,8,8,3,3,1,5,8,1,1,8,2,8,11,12,1,4,1,7,1,1,11,3,5,13,13,13,14,7,7,6,6,2,6,6,6,6,3,3,3,6,5,4,4,4,8,8,10,10,4,4,4,4,8,8,8,14,8,14,14,14,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,4,4,4,4,4,4
"3710900LB34",12,13,2,11,5,11,7,4,5,2,11,10,6,13,6,13,6,10,11,10,13,6,9,9,13,8,4,4,4,4,6,12,3,12,12,3,8,8,1,10,1,1,8,8,12,1,2,1,7,7,7,5,12,2,11,11,14,9,9,10,9,11,10,10,2,1,10,3,3,3,3,14,11,1,2,2,13,13,13,3,3,3,3,3,3,3,3,3,3,11,11,11,3,3,3,11,11,11,11,3,3
"3708300CONC",4,6,6,8,3,1,8,13,8,3,4,3,5,2,1,12,8,8,8,1,11,2,7,11,7,6,13,5,13,10,13,7,13,6,6,6,2,13,6,2,2,11,2,6,6,3,5,6,5,4,10,4,10,4,8,7,8,8,1,4,4,4,8,14,12,7,7,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"3705100LR63",7,5,14,13,1,10,13,1,6,8,8,8,4,5,3,2,12,5,4,11,8,12,5,7,1,5,7,14,5,3,11,6,6,13,4,2,4,2,4,11,11,3,4,14,14,6,11,11,6,12,6,6,1,1,1,1,1,3,6,6,6,6,1,13,6,9,12,12,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,9,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"3705500KTHK",4,3,1,8,3,1,8,8,8,3,4,3,5,2,1,1,8,8,8,1,11,1,4,11,7,1,1,5,13,10,13,13,13,6,6,6,6,13,2,6,6,6,6,3,3,3,6,5,4,4,4,8,8,10,10,4,4,4,4,8,8,8,14,8,14,14,14,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,4,4,4,4,4,4
"370970000FT",12,12,2,7,9,4,4,4,11,1,1,11,13,13,14,9,6,10,11,9,6,13,3,9,9,9,8,12,12,12,8,3,10,10,12,12,9,7,10,14,8,10,7,9,11,11,12,14,11,14,5,5,12,2,5,5,11,11,9,11,12,3,9,1,1,1,1,1,13,10,14,3,3,3,3,3,3,3,3,13,13,13,1,1,11,13,13,5,5,5,5,6,6,11,11,3,3,3,3,6,6
"37001000001",3,11,11,10,4,13,10,7,4,10,14,6,2,5,2,7,1,12,14,3,3,8,8,6,2,7,3,1,1,14,1,1,1,1,1,11,12,4,5,7,7,8,13,11,10,13,14,10,10,1,14,1,6,7,7,6,6,14,14,14,3,13,7,4,4,8,4,4,8,8,5,5,10,8,8,8,12,12,12,5,12,12,12,12,12,9,9,9,9,6,6,5,5,5,5,5,5,5,7,7,7
"3708100H29B",3,11,11,3,4,4,2,14,10,10,14,2,2,4,4,11,5,1,14,3,3,8,6,6,6,2,12,10,2,1,14,9,14,4,11,1,5,9,7,5,10,8,5,11,10,9,14,12,1,5,14,2,9,9,9,13,13,12,12,2,5,5,5,5,5,5,13,5,5,4,10,10,5,5,5,5,5,5,5,12,5,5,5,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,13
"3716300GIDD",11,4,6,13,1,9,6,6,6,8,6,1,3,3,3,2,4,5,4,11,8,11,5,7,5,11,7,13,3,3,11,6,6,13,4,2,4,2,4,11,13,4,3,2,2,14,3,3,3,3,3,3,3,8,3,1,3,6,7,7,6,6,12,6,9,6,6,14,14,14,4,7,7,7,10,10,10,10,9,7,7,7,7,7,10,10,10,12,8,9,12,12,4,8,8,8,8,8,8,8,8
"3708100H29A",14,11,11,3,4,4,2,14,10,10,14,2,2,4,4,11,5,1,14,3,3,8,6,6,6,2,12,10,14,1,14,9,14,4,11,1,5,9,7,5,10,8,5,11,10,9,12,12,1,5,14,2,9,9,9,13,13,12,12,2,5,5,5,5,5,5,13,5,5,4,10,10,5,5,5,5,5,5,5,12,5,5,5,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,13
"37005000004",13,7,12,9,6,2,14,5,5,5,1,11,13,10,9,5,10,10,1,9,14,9,3,8,8,3,2,4,2,2,3,10,3,12,3,12,9,7,13,9,5,9,10,9,9,10,13,8,12,2,5,14,13,13,13,9,2,11,9,12,2,2,10,10,2,2,10,3,3,3,3,14,11,1,2,2,13,13,13,3,3,3,3,3,3,3,3,3,3,11,11,11,3,3,3,11,11,11,11,3,3
"3712700P07A",4,6,6,8,3,1,8,13,3,6,6,12,5,2,8,12,4,7,5,4,4,11,7,2,11,6,13,5,13,10,13,7,13,6,6,6,2,13,6,2,2,11,2,6,6,2,5,6,5,6,10,4,10,4,8,7,8,8,1,4,4,4,8,14,12,7,7,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"37005000001",13,7,12,9,6,2,14,5,5,5,1,11,13,10,9,5,10,10,1,9,14,9,3,8,8,3,2,4,2,2,3,10,3,12,3,12,9,7,13,9,5,9,10,9,9,10,13,8,12,2,5,14,13,13,13,9,2,11,9,12,2,2,10,10,2,2,10,3,3,3,3,14,11,1,2,2,13,13,13,3,3,3,3,3,3,3,3,3,3,11,11,11,3,3,3,11,11,11,11,3,3
"37001000007",3,11,11,10,4,13,10,7,4,10,14,6,2,5,2,7,1,12,14,3,3,8,11,4,2,7,3,1,1,14,1,1,1,1,1,11,12,4,5,7,7,2,13,11,10,13,14,10,10,1,14,1,6,7,7,6,6,14,14,14,3,13,7,4,4,8,4,4,8,8,5,5,10,8,8,8,12,12,12,5,12,12,12,12,12,9,9,9,9,6,6,5,5,5,5,5,5,5,7,7,7
"370030000B1",13,13,7,11,5,11,7,4,5,1,11,10,6,13,14,13,10,10,11,9,14,9,3,8,3,9,8,4,9,9,3,3,3,12,3,12,9,7,8,10,14,1,8,8,12,1,1,8,7,7,7,14,13,11,5,5,2,9,10,10,9,11,10,10,2,2,10,3,3,3,3,14,11,1,2,2,13,13,13,3,3,3,3,3,3,3,3,3,3,11,11,11,3,3,3,11,11,11,11,3,3
"37001000005",3,11,11,10,4,13,10,7,4,10,14,6,2,4,2,7,1,14,14,8,3,4,6,6,6,7,3,1,1,14,1,1,1,1,1,11,12,9,5,7,7,2,5,11,10,13,14,10,10,1,1,1,6,7,7,6,6,14,14,14,3,13,7,4,4,8,4,4,8,8,5,5,10,8,8,8,12,12,12,5,12,12,12,12,12,9,9,9,9,6,6,5,5,5,5,5,5,5,7,7,7
"37025001-02",2,10,5,6,7,6,5,12,12,1,5,11,13,9,14,9,11,9,10,14,6,13,13,10,9,8,10,6,12,12,8,5,4,10,8,10,3,3,10,1,8,14,14,1,7,7,7,14,11,14,5,5,12,2,5,5,11,13,2,11,12,3,2,1,1,10,3,1,13,10,14,3,3,3,3,3,3,3,3,13,13,13,1,1,11,13,13,5,5,5,5,6,6,11,11,3,3,3,3,6,6
"37001000004",3,11,11,10,4,13,10,7,4,10,14,6,2,4,2,7,1,14,14,3,3,8,6,6,6,7,3,10,14,14,1,1,1,1,1,11,12,9,7,7,7,2,5,11,10,9,14,10,10,1,14,1,6,7,7,6,6,14,14,14,3,13,7,4,4,8,4,4,8,8,5,5,10,8,8,8,12,12,12,5,12,12,12,12,12,9,9,9,9,6,6,5,5,5,5,5,5,5,7,7,7
"37001000002",3,11,11,10,4,13,10,7,4,10,14,6,2,5,2,7,1,12,14,3,3,8,11,4,2,7,3,1,1,14,1,1,1,1,1,11,12,4,5,7,7,8,5,11,10,13,14,10,10,1,14,1,6,7,7,6,6,14,14,14,3,13,7,4,4,8,4,4,8,8,5,5,10,8,8,8,12,12,12,5,12,12,12,12,12,9,9,9,9,6,6,5,5,5,5,5,5,5,7,7,7
"370970000EM",14,12,7,7,9,4,4,5,11,5,1,11,13,6,14,9,6,9,10,2,14,9,3,8,3,9,8,4,2,9,8,3,2,10,3,12,9,11,10,14,8,10,7,9,11,11,12,14,11,14,5,5,12,2,5,5,2,11,9,11,12,3,9,1,2,1,1,1,13,10,14,3,3,3,3,3,3,3,3,13,13,13,1,1,11,13,13,5,5,5,5,6,6,11,11,3,3,3,3,6,6
"3719700SLIB",14,7,12,9,6,2,14,5,11,5,1,5,10,6,9,5,10,1,1,2,5,3,3,8,3,3,2,2,2,2,9,10,2,5,3,12,9,11,13,14,5,9,7,10,9,10,13,8,12,2,2,7,5,13,13,9,2,11,5,12,2,3,10,9,13,13,5,13,1,13,13,13,13,13,13,13,14,14,14,14,14,14,14,5,5,5,5,13,13,13,13,13,13,13,14,13,13,13,13,13,14
"37025001-08",2,10,5,6,7,6,5,12,14,1,5,11,13,6,14,9,11,9,10,14,6,13,13,10,9,8,10,6,12,12,8,5,4,10,8,10,3,3,10,14,8,10,14,1,7,7,7,14,11,14,5,5,12,2,5,5,11,13,2,11,12,3,2,1,1,10,3,1,13,10,14,3,3,3,3,3,3,3,3,13,13,13,1,1,11,13,13,5,5,5,5,6,6,11,11,3,3,3,3,6,6
"37025001-07",2,10,5,6,7,6,5,12,14,1,5,11,9,6,14,9,11,9,10,14,6,13,13,10,9,8,10,6,12,12,8,5,4,10,8,10,3,3,10,14,8,14,14,1,7,7,7,7,11,14,5,5,12,2,5,5,11,13,2,11,12,3,2,1,1,10,3,1,13,10,14,3,3,3,3,3,3,3,3,13,13,13,1,1,11,13,13,5,5,5,5,6,6,11,11,3,3,3,3,6,6
